Algorithm             , 6    , 7    , 8    , 9    , 10   , 11   , 12   , 20   , 50
AvgSortR Error[%]     , 43.40, 33.78, 32.00, 32.58, 28.40, 22.54, 23.62, 10.97, 4.12
AvgSortQ Error[%]     , 35.00, 46.15, 32.91, 33.33, 30.11, 17.15, 17.15, 10.28, 3.38
AvgSchrage Error[%]   , 28.57, 16.67, 16.00, 6.35 , 3.70 , 2.01 , 7.02 , 0.00 , 0.00
AvgSchrageDiv Error[%], -    , -    , -    , -    , -    , -    , -    , -    , -
AvgBrute Error[%]     , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , 0.00 , -    , -
AvgCustom Error[%]    , 48.98, 42.59, 39.66, 40.00, 35.53, 29.28, 29.48, 15.01, 4.18
